"name","id","timeOpened","qty","info.price","info.size","info.stock","info.category","info.subcat","info.tags"
"Laser corned beef","3iAj14eWUXYnBlwL0eby","{""_seconds"":1616443441,""_nanoseconds"":53000000}",1,1300,"340g",12,"Food","Cupboard Food","corned beef"
"Jacob Hooy CBD Herbal Tea","7FqFBlHQDWrxSLkE87TD","{""_seconds"":1616696603,""_nanoseconds"":193000000}",1,10500,"20 x 1.2g tea bags",46,,,"product Cbd hemp herbal medicine "
"Jacob Hooy CBD Herbal Tea","7Xrxbq7e6FDH64VJFm69","{""_seconds"":1616695325,""_nanoseconds"":111000000}",1,10500,"20 x 1.2g tea bags",47,,,"product Cbd hemp herbal medicine "
"HG Whiter than White bleach","8wv8JzsemnVwNe0PYtB6","{""_seconds"":1616443251,""_nanoseconds"":797000000}",1,1800,"400g",6,"Household","Laundry","kitchen toilet clean"
"Jacob Hooy CBD Herbal Tea","9qKg53dUD4ieK2GpsZYR","{""_seconds"":1616443441,""_nanoseconds"":348000000}",15,10500,"20 x 1.2g tea bags",50,,,"product Cbd hemp herbal medicine "
"Dupsie Dishwashing Liquid 500mL","BF3fF7sWpUQcev5qgojk","{""_seconds"":1616445389,""_nanoseconds"":789000000}",5,300,"500mL",24,"Household","Dishwashing","kitchen dish wash"
"Dupsie Dishwashing Liquid 500mL","FDSeZK7s382yWRYurTU1","{""_seconds"":1616445601,""_nanoseconds"":169000000}",5,300,"500mL",24,"Household","Dishwashing","kitchen dish wash"
"Jacob Hooy CBD Herbal Tea","HukAKaOcRcsseAEIOheL","{""_seconds"":1616696710,""_nanoseconds"":382000000}",1,10500,"20 x 1.2g tea bags",46,,,"product Cbd hemp herbal medicine "
"Jacob Hooy CBD Herbal Tea","Ia6M8kxkuS4SxPbiV1Qp",,1,10500,"20 x 1.2g tea bags",46,,,"product Cbd hemp herbal medicine "
"Jacob Hooy CBD Herbal Tea","KgtI8ZF3zPId8mykF6Ws","{""_seconds"":1616487845,""_nanoseconds"":148000000}",1,10500,"20 x 1.2g tea bags",48,,,"product Cbd hemp herbal medicine "
"Dupsie Dishwashing Liquid 500mL","NXAFWSwNWxXE91wDVwyi","{""_seconds"":1616443251,""_nanoseconds"":872000000}",5,300,"500mL",24,"Household","Dishwashing","kitchen dish wash"
"Dupsie Dishwashing Liquid 500mL","NnFsjUZZUkHp7NylRx9G","{""_seconds"":1616443441,""_nanoseconds"":281000000}",5,300,"500mL",24,"Household","Dishwashing","kitchen dish wash"
"Laser corned beef","UmOnp5xdQWvcQ0EPfITy","{""_seconds"":1616443251,""_nanoseconds"":763000000}",1,1300,"340g",12,"Food","Cupboard Food","corned beef"
,"XtJQ4DI8DVXGoj10b7Jt","{""_seconds"":1616415859,""_nanoseconds"":987000000}",,,,,,,
"HG Whiter than White bleach","Y1wYMuEoA4lFoTIAECpU","{""_seconds"":1616443441,""_nanoseconds"":121000000}",1,1800,"400g",6,"Household","Laundry","kitchen toilet clean"
"Jacob Hooy CBD Herbal Tea","ZJ33McZuJ7it99HSVLqf","{""_seconds"":1616697722,""_nanoseconds"":863000000}",1,10500,"20 x 1.2g tea bags",46,,,"product Cbd hemp herbal medicine "
"Dupsie Dishwashing Liquid 500mL","a4yay1kfX9P2fKeiVnAR","{""_seconds"":1616445598,""_nanoseconds"":645000000}",5,300,"500mL",24,"Household","Dishwashing","kitchen dish wash"
"Jacob Hooy CBD Herbal Tea","dUFVfgndcHKX6nITyhM5","{""_seconds"":1616482255,""_nanoseconds"":957000000}",1,10500,"20 x 1.2g tea bags",49,,,"product Cbd hemp herbal medicine "
"Jacob Hooy CBD Herbal Tea",,"{""_seconds"":1616697563,""_nanoseconds"":133000000}",1,10500,"20 x 1.2g tea bags",46,,,"product Cbd hemp herbal medicine "
"Jacob Hooy CBD Herbal Tea","p7NeIupucp19d4Tr6lji","{""_seconds"":1616443251,""_nanoseconds"":938000000}",15,10500,"20 x 1.2g tea bags",50,,,"product Cbd hemp herbal medicine "
"Jacob Hooy CBD Herbal Tea","pcOXKTzmuCb8Ezswo6L3","{""_seconds"":1616696380,""_nanoseconds"":612000000}",1,10500,"20 x 1.2g tea bags",47,,,"product Cbd hemp herbal medicine "
"Jacob Hooy CBD Herbal Tea","pvQHWuR55SvkBOir9fFZ","{""_seconds"":1616481765,""_nanoseconds"":310000000}",1,10500,"20 x 1.2g tea bags",50,,,"product Cbd hemp herbal medicine "
"Dupsie Dishwashing Liquid 500mL","zBENJeNtRalAaHq7KwBZ","{""_seconds"":1616445670,""_nanoseconds"":255000000}",5,300,"500mL",24,"Household","Dishwashing","kitchen dish wash"
